DDR,"Grönwald, Marlies",,1,1,1,1,,,,,,,
DDR,"Groß, Peter",,,1,1,1,,,,,,,
DDR,"Groschupf, ?",1,,,,,,,,,,,
DDR,"Grund, Iris",,,,,1,,,,,,,
DDR,"Grüning, Michael",,,,,1,,,,,,,
DDR,"Grzesiak, Angela",,,,1,,,,,,,,
DDR,"Gülzow, Ernst",,,1,,1,,,,,,,
DDR,"Günther, Gerold",,,,,1,,,,,,,
DDR,"Gutzer, Silke",,,1,1,,,,,,,,
DDR,"Gutjahr, Roland",,,1,,,,,,,,,
DDR,"Hähle, Wolfgang",,1,1,,,,,,,,,
DDR,"Härter, Joachim",,,1,1,1,,,,,,,
DDR,"Hahn, Horst",,,,,1,,,,,,,
DDR/D,"Hain, Simone",,1,1,1,,1,,,,,,
DDR,"Hannemann, Christine",,,,,1,,,,,,,
DDR,"Harksen, Hans",1,1,,,,,,,,,,
DDR,"Hartmann, Gerlinde",,,,1,1,,,,,,,
DDR,"Hartzsch, Günter",,,,1,,,,,,,,
DDR,"Harwardt, Heinz",,,1,1,1,,,,,,,
DDR,"Hauschild, Thea",1,,,,,,,,,,,
DDR,"Hausdorf, Siegfried",,1,1,,,,,,,,,
DDR,"Hecht, Alfred",,,1,1,1,,,,,,,
DDR,"Heidenreich, Gotthard",,,,,1,,,,,,,
DDR,"Heinemann, Horst",,,1,1,,,,,,,,
DDR,"Heister, E.",1,,,,,,,,,,,
DDR,"Hemmann, Regina",,,,1,,,,,,,,
DDR,"Hengst, Helmut",,,1,,1,,,,,,,
DDR,"Henn, Ewald",,,1,1,1,,,,,,,
DDR,"Hennecke, Fritz",,1,,,,,,,,,,
DDR,"Herfurt, Renate",1,,,,,,,,,,,
DDR,"Herfurth, Günter",,1,,,,,,,,,,
DDR,"Herrmann, Henry",,,1,,,,,,,,,
DDR,"Heumann, Benny",,,1,,,,,,,,,
DDR,"Hillmann, Siegfried",,,,,1,,,,,,,
DDR,"Hirdina, Heinz",1,1,1,1,1,,,,,,,
DDR,"Hirdina, Karin",1,1,1,1,1,,,,,,,
DDR,"Hirstowski, S.",1,,,,,,,,,,,
DDR,"Hoffmann, Alfred",1,1,,1,1,,,,,,,
DDR?,"Hoffmann, Helga",,1,,,,,,,,,,
DDR,"Hofmann, Angela",,,,1,,,,,,,,
DDR,"Höhne, Günter",,,,1,,,,,,,,
DDR,"Holle, Jürgen",,,1,1,,,,,,,,
DDR,"Honigmann-Zinserling, L.",1,1,1,,,,,,,,,
DDR,"Horn, Rudolf",1,,,,,,,,,,,
DDR,"Horn, Ursula",,1,,,,,,,,,,
DDR,"Hubrich, Hannes",,,1,1,1,,,,,,,
DDR,"Hugk, Ulrich",,,,1,1,,,,,,,
